RamanShift (cm-1)	00:00:56	00:01:25	00:01:55	00:02:26
3158.0000	1394.32670533	1550.79817299	1303.73388835	1269.18460571
3157.0000	1453.11908855	1467.34685200	1260.24787625	1314.67934642
3156.0000	1460.13278605	1545.10392291	1446.97118299	1396.83945562
3155.0000	1450.90807600	1656.39519165	1663.28803294	1407.94786108
3154.0000	1503.18126844	1671.26472099	1688.40522439	1343.08673325
3153.0000	1627.07775067	1628.01715879	1508.18908536	1296.47254691
3152.0000	1706.92138081	1573.61931022	1293.12758651	1281.83807444
3151.0000	1636.15433315	1512.97696537	1221.11697018	1258.52096722
3150.0000	1504.43463416	1499.97309911	1321.37426349	1290.01935348
3149.0000	1465.29071902	1544.41721695	1453.23715713	1433.81011531
3148.0000	1473.46331124	1519.63723922	1459.09790010	1536.96955054
3147.0000	1406.24080929	1350.76002700	1347.16505067	1417.45979140
3146.0000	1311.01638145	1153.11242216	1247.45171911	1172.45329872
3145.0000	1280.03330159	1060.16953018	1216.01478262	1063.04173940
3144.0000	1277.66066414	1089.54692401	1229.36667128	1178.49424241
3143.0000	1269.81599745	1222.14799054	1308.12809425	1375.60709341
3142.0000	1295.56104858	1405.80327773	1464.42088164	1469.35789589
3141.0000	1332.04680432	1489.74326327	1599.50785329	1396.05557661
3140.0000	1311.42785594	1375.27403830	1599.16463282	1242.35219727
3139.0000	1275.39559283	1200.97272709	1479.55784347	1162.85410139
3138.0000	1318.51128046	1172.74154293	1365.93379722	1239.28799612
3137.0000	1400.56517093	1266.54753892	1336.58574669	1383.87782995
3136.0000	1382.14762730	1303.67777253	1327.45391167	1424.48840265
3135.0000	1242.78501277	1243.01170836	1246.93289779	1321.84054102
3134.0000	1119.28666215	1189.43736829	1132.68296661	1219.45968835
3133.0000	1107.94488247	1189.98884825	1089.28612762	1242.47597558
3132.0000	1158.74283286	1201.17429308	1152.83029592	1355.29394025
3131.0000	1185.55896250	1191.65737767	1301.61882313	1443.38677567
3130.0000	1158.97913456	1166.14806423	1470.49978137	1435.40384595
3129.0000	1091.76297002	1144.70614764	1534.24745643	1336.38905161
3128.0000	1040.11849339	1167.84839215	1440.85327316	1218.82925016
3127.0000	1076.03670936	1274.79421425	1314.26676153	1179.18044606
3126.0000	1172.87303830	1433.06485270	1277.29607443	1241.09817033
3125.0000	1213.35470422	1513.53214200	1292.02425227	1319.18314064
3124.0000	1159.09100328	1419.25312650	1281.37734227	1337.05296556
3123.0000	1068.34998218	1241.03624047	1237.88642563	1320.04943401
3122.0000	961.26257555	1158.29839174	1156.56897308	1305.21236504
3121.0000	853.60302182	1190.04450811	1040.75728532	1275.73682634
3120.0000	850.54114129	1214.02158261	978.77391117	1247.20426965
3119.0000	1015.53643235	1207.20889420	1055.56688416	1271.49720925
3118.0000	1236.90518090	1255.33899249	1212.92941084	1323.16358078
3117.0000	1355.52796310	1349.27659155	1312.72503495	1321.66426627
